"Town/County","FIPS","Year","Town Profile Year","Measure Type","Variable","Value"
"Andover","0901301080",2013,2015,"Number","Total Housing Units",1144
"Andover","0901301080",2013,2015,"Number","Housing Units Built Before 1950",317
"Andover","0901301080",2013,2015,"Percent","Housing Units Built Before 1950",27.7
"Andover","0901301080",2014,2016,"Number","Total Housing Units",1195
"Andover","0901301080",2014,2016,"Number","Housing Units Built Before 1950",302
"Andover","0901301080",2014,2016,"Percent","Housing Units Built Before 1950",25.3
"Andover","0901301080",2015,2017,"Number","Total Housing Units",1234
"Andover","0901301080",2015,2017,"Number","Housing Units Built Before 1950",325
"Andover","0901301080",2015,2017,"Percent","Housing Units Built Before 1950",26.3
"Andover","0901301080",2016,2018,"Number","Total Housing Units",1279
"Andover","0901301080",2016,2018,"Number","Housing Units Built Before 1950",310
"Andover","0901301080",2016,2018,"Percent","Housing Units Built Before 1950",24.2
"Andover","0901301080",2017,2019,"Number","Total Housing Units",1336
"Andover","0901301080",2017,2019,"Number","Housing Units Built Before 1950",355
"Andover","0901301080",2017,2019,"Percent","Housing Units Built Before 1950",26.6
"Andover","0901301080",2018,2020,"Number","Total Housing Units",1322
"Andover","0901301080",2018,2020,"Number","Housing Units Built Before 1950",365
"Andover","0901301080",2018,2020,"Percent","Housing Units Built Before 1950",27.6
"Ansonia","0900901220",2013,2015,"Number","Total Housing Units",7794
"Ansonia","0900901220",2013,2015,"Number","Housing Units Built Before 1950",3934
"Ansonia","0900901220",2013,2015,"Percent","Housing Units Built Before 1950",50.5
"Ansonia","0900901220",2014,2016,"Number","Total Housing Units",7711
"Ansonia","0900901220",2014,2016,"Number","Housing Units Built Before 1950",3711
"Ansonia","0900901220",2014,2016,"Percent","Housing Units Built Before 1950",48.1
"Ansonia","0900901220",2015,2017,"Number","Total Housing Units",7408
"Ansonia","0900901220",2015,2017,"Number","Housing Units Built Before 1950",3553
"Ansonia","0900901220",2015,2017,"Percent","Housing Units Built Before 1950",48
"Ansonia","0900901220",2016,2018,"Number","Total Housing Units",7486
"Ansonia","0900901220",2016,2018,"Number","Housing Units Built Before 1950",3530
"Ansonia","0900901220",2016,2018,"Percent","Housing Units Built Before 1950",47.2
"Ansonia","0900901220",2017,2019,"Number","Total Housing Units",7807
"Ansonia","0900901220",2017,2019,"Number","Housing Units Built Before 1950",3627
"Ansonia","0900901220",2017,2019,"Percent","Housing Units Built Before 1950",46.5
"Ansonia","0900901220",2018,2020,"Number","Total Housing Units",8351
"Ansonia","0900901220",2018,2020,"Number","Housing Units Built Before 1950",3840
"Ansonia","0900901220",2018,2020,"Percent","Housing Units Built Before 1950",46
"Ashford","0901501430",2013,2015,"Number","Total Housing Units",1839
"Ashford","0901501430",2013,2015,"Number","Housing Units Built Before 1950",231
"Ashford","0901501430",2013,2015,"Percent","Housing Units Built Before 1950",12.6
"Ashford","0901501430",2014,2016,"Number","Total Housing Units",1883
"Ashford","0901501430",2014,2016,"Number","Housing Units Built Before 1950",204
"Ashford","0901501430",2014,2016,"Percent","Housing Units Built Before 1950",10.8
