"Town/County","FIPS","Year","Town Profile Year","Measure Type","Variable","Value"
"Andover","0901301080",2013,2016,"Number","Total Housing Units",1144
"Andover","0901301080",2013,2016,"Number","Housing Units Built Before 1950",317
"Andover","0901301080",2013,2016,"Percent","Housing Units Built Before 1950",27.7
"Andover","0901301080",2015,2017,"Number","Total Housing Units",1234
"Andover","0901301080",2015,2017,"Number","Housing Units Built Before 1950",325
"Andover","0901301080",2015,2017,"Percent","Housing Units Built Before 1950",26.3
"Andover","0901301080",2016,2018,"Number","Total Housing Units",1279
"Andover","0901301080",2016,2018,"Number","Housing Units Built Before 1950",310
"Andover","0901301080",2016,2018,"Percent","Housing Units Built Before 1950",24.2
"Ansonia","0900901220",2013,2016,"Number","Total Housing Units",7794
"Ansonia","0900901220",2013,2016,"Number","Housing Units Built Before 1950",3934
"Ansonia","0900901220",2013,2016,"Percent","Housing Units Built Before 1950",50.5
"Ansonia","0900901220",2015,2017,"Number","Total Housing Units",7408
"Ansonia","0900901220",2015,2017,"Number","Housing Units Built Before 1950",3553
"Ansonia","0900901220",2015,2017,"Percent","Housing Units Built Before 1950",48
"Ansonia","0900901220",2016,2018,"Number","Total Housing Units",7486
"Ansonia","0900901220",2016,2018,"Number","Housing Units Built Before 1950",3530
"Ansonia","0900901220",2016,2018,"Percent","Housing Units Built Before 1950",47.2
"Ashford","0901501430",2013,2016,"Number","Total Housing Units",1839
"Ashford","0901501430",2013,2016,"Number","Housing Units Built Before 1950",231
"Ashford","0901501430",2013,2016,"Percent","Housing Units Built Before 1950",12.6
"Ashford","0901501430",2015,2017,"Number","Total Housing Units",1898
"Ashford","0901501430",2015,2017,"Number","Housing Units Built Before 1950",229
"Ashford","0901501430",2015,2017,"Percent","Housing Units Built Before 1950",12.1
"Ashford","0901501430",2016,2018,"Number","Total Housing Units",1859
"Ashford","0901501430",2016,2018,"Number","Housing Units Built Before 1950",154
"Ashford","0901501430",2016,2018,"Percent","Housing Units Built Before 1950",8.3
"Avon","0900302060",2013,2016,"Number","Total Housing Units",7454
"Avon","0900302060",2013,2016,"Number","Housing Units Built Before 1950",662
"Avon","0900302060",2013,2016,"Percent","Housing Units Built Before 1950",8.9
"Avon","0900302060",2015,2017,"Number","Total Housing Units",7342
"Avon","0900302060",2015,2017,"Number","Housing Units Built Before 1950",708
"Avon","0900302060",2015,2017,"Percent","Housing Units Built Before 1950",9.6
"Avon","0900302060",2016,2018,"Number","Total Housing Units",7415
"Avon","0900302060",2016,2018,"Number","Housing Units Built Before 1950",739
"Avon","0900302060",2016,2018,"Percent","Housing Units Built Before 1950",10
"Barkhamsted","0900502760",2013,2016,"Number","Total Housing Units",1537
"Barkhamsted","0900502760",2013,2016,"Number","Housing Units Built Before 1950",237
"Barkhamsted","0900502760",2013,2016,"Percent","Housing Units Built Before 1950",15.4
"Barkhamsted","0900502760",2015,2017,"Number","Total Housing Units",1500
"Barkhamsted","0900502760",2015,2017,"Number","Housing Units Built Before 1950",179
"Barkhamsted","0900502760",2015,2017,"Percent","Housing Units Built Before 1950",11.9
"Barkhamsted","0900502760",2016,2018,"Number","Total Housing Units",1505
"Barkhamsted","0900502760",2016,2018,"Number","Housing Units Built Before 1950",212
"Barkhamsted","0900502760",2016,2018,"Percent","Housing Units Built Before 1950",14.1
"Beacon Falls","0900903250",2013,2016,"Number","Total Housing Units",2479
"Beacon Falls","0900903250",2013,2016,"Number","Housing Units Built Before 1950",496
"Beacon Falls","0900903250",2013,2016,"Percent","Housing Units Built Before 1950",20
"Beacon Falls","0900903250",2015,2017,"Number","Total Housing Units",2623
"Beacon Falls","0900903250",2015,2017,"Number","Housing Units Built Before 1950",568
"Beacon Falls","0900903250",2015,2017,"Percent","Housing Units Built Before 1950",21.7
"Beacon Falls","0900903250",2016,2018,"Number","Total Housing Units",2678
"Beacon Falls","0900903250",2016,2018,"Number","Housing Units Built Before 1950",578
"Beacon Falls","0900903250",2016,2018,"Percent","Housing Units Built Before 1950",21.6
"Berlin","0900304300",2013,2016,"Number","Total Housing Units",7961
"Berlin","0900304300",2013,2016,"Number","Housing Units Built Before 1950",1659
"Berlin","0900304300",2013,2016,"Percent","Housing Units Built Before 1950",20.8
"Berlin","0900304300",2015,2017,"Number","Total Housing Units",8333
"Berlin","0900304300",2015,2017,"Number","Housing Units Built Before 1950",1675
"Berlin","0900304300",2015,2017,"Percent","Housing Units Built Before 1950",20.1
"Berlin","0900304300",2016,2018,"Number","Total Housing Units",8427
"Berlin","0900304300",2016,2018,"Number","Housing Units Built Before 1950",1740
"Berlin","0900304300",2016,2018,"Percent","Housing Units Built Before 1950",20.6
"Bethany","0900904580",2013,2016,"Number","Total Housing Units",2031
"Bethany","0900904580",2013,2016,"Number","Housing Units Built Before 1950",282
"Bethany","0900904580",2013,2016,"Percent","Housing Units Built Before 1950",13.9
"Bethany","0900904580",2015,2017,"Number","Total Housing Units",2060
"Bethany","0900904580",2015,2017,"Number","Housing Units Built Before 1950",263
"Bethany","0900904580",2015,2017,"Percent","Housing Units Built Before 1950",12.8
"Bethany","0900904580",2016,2018,"Number","Total Housing Units",2017
"Bethany","0900904580",2016,2018,"Number","Housing Units Built Before 1950",278
"Bethany","0900904580",2016,2018,"Percent","Housing Units Built Before 1950",13.8
"Bethel","0900104720",2013,2016,"Number","Total Housing Units",7139
"Bethel","0900104720",2013,2016,"Number","Housing Units Built Before 1950",1688
"Bethel","0900104720",2013,2016,"Percent","Housing Units Built Before 1950",23.6
"Bethel","0900104720",2015,2017,"Number","Total Housing Units",7540
"Bethel","0900104720",2015,2017,"Number","Housing Units Built Before 1950",1597
"Bethel","0900104720",2015,2017,"Percent","Housing Units Built Before 1950",21.2
"Bethel","0900104720",2016,2018,"Number","Total Housing Units",7563
"Bethel","0900104720",2016,2018,"Number","Housing Units Built Before 1950",1559
"Bethel","0900104720",2016,2018,"Percent","Housing Units Built Before 1950",20.6
"Bethlehem","0900504930",2013,2016,"Number","Total Housing Units",1521
"Bethlehem","0900504930",2013,2016,"Number","Housing Units Built Before 1950",306
"Bethlehem","0900504930",2013,2016,"Percent","Housing Units Built Before 1950",20.1
"Bethlehem","0900504930",2015,2017,"Number","Total Housing Units",1493
"Bethlehem","0900504930",2015,2017,"Number","Housing Units Built Before 1950",268
"Bethlehem","0900504930",2015,2017,"Percent","Housing Units Built Before 1950",18
"Bethlehem","0900504930",2016,2018,"Number","Total Housing Units",1547
"Bethlehem","0900504930",2016,2018,"Number","Housing Units Built Before 1950",275
"Bethlehem","0900504930",2016,2018,"Percent","Housing Units Built Before 1950",17.8
"Bloomfield","0900305910",2013,2016,"Number","Total Housing Units",8877
"Bloomfield","0900305910",2013,2016,"Number","Housing Units Built Before 1950",1129
"Bloomfield","0900305910",2013,2016,"Percent","Housing Units Built Before 1950",12.7
"Bloomfield","0900305910",2015,2017,"Number","Total Housing Units",8823
"Bloomfield","0900305910",2015,2017,"Number","Housing Units Built Before 1950",1278
"Bloomfield","0900305910",2015,2017,"Percent","Housing Units Built Before 1950",14.5
"Bloomfield","0900305910",2016,2018,"Number","Total Housing Units",8807
"Bloomfield","0900305910",2016,2018,"Number","Housing Units Built Before 1950",1061
"Bloomfield","0900305910",2016,2018,"Percent","Housing Units Built Before 1950",12
"Bolton","0901306260",2013,2016,"Number","Total Housing Units",2211
"Bolton","0901306260",2013,2016,"Number","Housing Units Built Before 1950",425
"Bolton","0901306260",2013,2016,"Percent","Housing Units Built Before 1950",19.2
"Bolton","0901306260",2015,2017,"Number","Total Housing Units",2131
